"","X_id","dzNum","latitude","longitude","bigLat","bigLon"
"3017",167491,0,36.3429706,127.3839337,"36.3","127.4"
"3026",167842,6,35.1678652,128.9810315,"35.2","129"
"3038",167301,7,35.2285451,128.8893517,"35.2","128.9"
"86",168350,0,37.57057,127.1822,"37.6","127.2"
"87",168473,5,36.50599,127.2444,"36.5","127.2"
"202",167968,7,36.68672,126.8381,"36.7","126.8"
"587",168399,5,34.97717,127.5796,"35","127.6"
"1004",168195,6,35.89331,128.6268,"35.9","128.6"
"1011",168396,5,37.2923149,126.9804219,"37.3","127"
"1628",168357,5,35.19995,126.8374,"35.2","126.8"
"1634",168391,4,35.62378,129.4387,"35.6","129.4"
"1635",168324,6,36.3354169,127.3684078,"36.3","127.4"
"2002",168498,21,35.1417,128.5582,"35.1","128.6"
"2172",168228,18,37.63478,126.8364,"37.6","126.8"
"2366",169194,12,35.8781,128.6324,"35.9","128.6"
"2526",168298,12,37.53126,127.0268,"37.5","127"
"2631",168783,6,37.3292929,126.8276768,"37.3","126.8"
"2641",168347,5,37.2480984266795,127.109533619974,"37.2","127.1"
"2718",168631,4,37.4763555,126.8713154,"37.5","126.9"
"2748",168379,7,35.1853689,129.0938554,"35.2","129.1"
"2767",168141,5,35.5334363,129.3205025,"35.5","129.3"
"2951",168283,5,37.6191228,127.1905846,"37.6","127.2"
"38",169169,6,37.59412,127.0979,"37.6","127.1"
"85",168933,7,37.57057,127.1822,"37.6","127.2"
"101",169085,4,36.08575,128.3618,"36.1","128.4"
"180",168854,5,36.9967357,127.1088729,"37","127.1"
"570",169279,6,37.49696,126.9223,"37.5","126.9"
"800",169856,6,37.84955,127.161,"37.8","127.2"
"1150",169092,21,37.5394459,126.8395438,"37.5","126.8"
"1466",168991,12,35.17905,126.8149,"35.2","126.8"
"1484",168883,20,36.7926094,127.1167284,"36.8","127.1"
"1542",169372,12,37.5091154,126.8117459,"37.5","126.8"
"1687",169119,5,35.84806,128.6398,"35.8","128.6"
"1809",168898,21,36.1019179,128.4201173,"36.1","128.4"
"1833",169192,4,37.5817732,127.0907955,"37.6","127.1"
"1958",168584,12,37.4631514,126.6844724,"37.5","126.7"
"2124",169275,5,36.0676,128.4052,"36.1","128.4"
"2197",168988,5,37.25378,127.0092,"37.3","127"
"2434",169117,6,36.58494,127.2952,"36.6","127.3"
"2723",168895,4,37.3408897,126.8236396,"37.3","126.8"
"2787",169031,2,37.5454212,126.6759723,"37.5","126.7"
"2801",169149,21,36.0190178,129.3434808,"36","129.3"
"2808",168978,7,35.1667615,129.157741,"35.2","129.2"
"2816",168874,7,35.241745,129.2172524,"35.2","129.2"
"2857",168975,22,35.1927326,128.5681805,"35.2","128.6"
"37",169633,22,37.59412,127.0979,"37.6","127.1"
"156",169461,7,35.8857114,128.5828073,"35.9","128.6"
"232",170342,6,37.47926,126.8089,"37.5","126.8"
